id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
9194962,"TV-TS tapestry, The",,Transvestite transsexual tapestry|||Tapestry|||Tapestry journal|||TV-TS tapestry journal,,,"Waltham, Massachusetts :|||Wayland, Massachusetts :|||Wayland, Mass. :","I.F.G.E., Inc.,|||I.F.G.E., Inc.,|||Tiffany Club,",[1995]|||[1988?]-[1994]|||[198u]-[1987?],198u,1995,,serial,Quarterly,English,text,print|||unmediated|||volume,volumes : illustrations ; 28 cm,Directories|||Periodicals|||directory|||periodical|||text,,"Cross-dressing|||Transsexuals|||Societies, etc",,,,"Tapestry (Wayland, Mass.) 0884-9749 (DLC)sf 94095161 (OCoLC)12536412",Transgender tapestry 1083-0006 (DLC)sf 96092749 (OCoLC)32692689,0884-9749,2001227005,,
4751558,Transgender tapestry,,Tapestry|||Transgender winter 1995,,International Foundation for Gender Education (issuing body),"Waltham, MA :",I.F.G.E.,,1995,2008,,serial,Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||review|||text,,Transsexuals|||Transsexualism|||Cross-dressing|||Gender identity,,,,TV-TS tapestry (DLC) 2018247577 (OCoLC)606565921,,1083-0006,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/29627
9194964,Transvestia,,,,"Prince, Virginia (editor)","Los Angeles, California :","Chevalier Publications,",1952-,1952,uuuu,,serial,Unknown,English,text,print|||unmediated|||volume,volumes : illustrations ; 21-28 cm,Periodicals|||periodical|||text,,Cross-dressing|||Cross-dressers,,,,,,,sn 88027179,,
9248443,Transvestia,,,,,"[Los Angeles, California] :","[Chevalier Publications],",1952-,1952,uuuu,,serial,Unknown,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Cross-dressing,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9CVJ&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
1146741,Update,Update (Pittsburgh AIDS Task Force),Pittsburgh AIDS Task Force update,,,"Pittsburgh, Pa",The Task Force,,198u,9999,,serial,"Bimonthly, Nov. 1991-|||Quarterly, -Sept. 1991|||Bimonthly",English,text,print,v. : ill. ; 28-45 cm.,periodical,,Periodicals|||AIDS (Disease)|||Patients|||Services for|||Prevention|||Pittsburgh AIDS Task Force (Pa.),,Pennsylvania|||Pittsburgh,,,,,sn 94042045,,
551173,Against the current,,,,,New York|||Detroit],Against the Current|||Center for Changes,1980]-,1980,9999,,serial,"Bimonthly, <1993->|||Quarterly, fall 1980-|||Bimonthly (except July-Aug.), <Jan.-Feb. 1986->|||Bimonthly",English,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,Socialism|||World politics|||Social problems|||Economic history|||Social change|||Labor,Since 1945|||1945-1989|||1989-|||1971-1990|||1990-,United States,,Changes socialist journal 0746-5335 (DLC) 84649223 (OCoLC)10116350|||Socialist unity (DLC)sn 94024297 (OCoLC)31025071,,0739-4853|||0746-5335,86643198|||sc 83006333,,http://bibpurl.oclc.org/web/75240
1200682,Allegheny socialist,,,,,"Pittsburgh, Pa",Pittsburgh Chapter of Democratic Socialists of America,1982-,1982,9999,,serial,Bimonthly,English,text,print,v. : ill. ; 28 cm.,periodical,,Periodicals|||Socialism|||Socialists|||Democratic Socialists of America. Pittsburgh Chapter,,Pennsylvania|||Pittsburgh,,Democratic Socialists of America. Pittsburgh Local news letter (OCoLC)26835416 (DLC)sn 92037613,,,sn 92037614,,
519216,American appeal,,,,,Chicago,Socialist party of America.,,1920,1927,,serial,"Weekly, Jan. 1926-Nov. 1927.|||Monthly, July 1920-Oct. 1925.|||Weekly",English,text,print,,periodical,,,,,,Young socialists' magazine,New leader|||New leader and American appeal,,28029833,,
529556,"Campaigner, The",,,,,New York,"Campaigner Publications, etc.]",,1973,9999,,serial,"10 no. a year <, Aug. 1978->|||Monthly",English,text,print,v. ill. 28 cm.,bibliography|||periodical,,Socialism|||Periodicals|||World politics,1965-,,,,,0045-4109,73647664,,
552157,Changes socialist journal,,Socialist journal changes,,,"Detroit, MI",Labor Education Association,c1983-c1985,1983,1985,,serial,Bimonthly,English,text,print,2 v. : ill. ; 28 cm.,Periodicals|||periodical,,Socialism|||World politics,1945-1989,,,Changes socialist monthly 0194-8350 (DLC) 83640167 (OCoLC)4814085,Against the current 0739-4853 (DLC) 86643198 (OCoLC)9201501,0746-5335|||0194-8350,84649223|||sn 83003207,,
544631,Changes socialist monthly,,Changes|||Socialist monthly changes,,,"Detroit, MI",Changes Socialist Monthly,[c1979-c1983],1979,1983,,serial,Monthly except July-Aug. and Dec.-Jan.|||Monthly,English,text,print,5 v. : ill. ; 28 cm.,Periodicals|||periodical,,Socialism|||World politics,1945-1989,,,Workers' power (OCoLC)1770108,Changes socialist journal 0746-5335 (DLC) 84649223 (OCoLC)10116350,0194-8350,83640167 //r83|||sn 79000519,,
1200679,Democratic Socialists of America,,Pittsburgh Local newsletter,,,"Pittsburgh, Pa",The Local,1982,1982,1982,,serial,Bimonthly,English,text,print,1 v. : ill. ; 28 cm.,periodical,,Periodicals|||Socialism|||Socialists|||Democratic Socialists of America. Pittsburgh Chapter,,Pennsylvania|||Pittsburgh,,New American movement. Pittsburgh Chapter newsletter (OCoLC)26835391 (DLC)sn 92037612,Allegheny socialist (OCoLC)26835445 (DLC)sn 92037614,,sn 92037613,,
1200684,Discussion bulletin,Discussion bulletin (New American Movement (Organization)),New American Movement discussion bulletin|||New American Movement bulletin|||NAM discussion bulletin no. 17-|||NAM bulletin,,,"Minneapolis, Minn",The Movement,1972-1981,1972,1981,,serial,Quarterly,English,text,print,10 v. : ill. ; 28 cm.,periodical,,Periodicals|||Socialism|||Socialists|||New American Movement (Organization),,United States,,,,,sn 92038611,,
542450,In these times,,,,,Chicago,"Institute for Public Affairs, etc.]",,1976,9999,,serial,"41 no. a year <, Apr. 24-30, 1985->|||42 no. a year <, Nov. 21/Dec 4, 1979->|||Weekly (except 1st weeks of Jan. & Aug., last weeks of July & Dec.) <, Aug. 1979->|||Weekly",English,text,print,v. ill. 45 cm.,periodical,,,,,,,,0160-5992,78640799,,
4181809,In these times,In these times (Online),,,,Chicago],"[Institute for Public Affairs, etc.]",,1976,9999,,serial,"41 no. a year, <Apr. 24-30, 1985->|||Weekly (except 1st weeks of Jan. & Aug., last weeks of July & Dec.), <Aug. 1979->|||42 no. a year, <Nov. 21/Dec 4, 1979->|||Weekly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Socialism,,United States,,,,0160-5992,,,http://pitt.idm.oclc.org/login?url=https://advance.lexis.com/api/search?source=MTA1NDcxNg&context=1516831|||http://www.inthesetimes.com
534877,Independent socialist,,,,,"New York, N.Y. : New York Independent Socialist Club",,1967-1968,1967,1968,,serial,"10 no. a year, 1968|||bimonthly, 1967|||Monthly",English,text,print,"1 v. : ill., ; 27 cm.",periodical,,Socialism|||Periodicals,,,,,"I.S., independent socialist (OCoLC)4799318",,,,
528292,Internal bulletin,,,,,New York,,,1937,19uu,,serial,Unknown,English,text,print,v.,periodical,,,,,,,,,,,
535055,International Socialist review,,,,,New York,International Socialist Review Pub. Association],,1956,1975,,serial,Monthly (bimonthly July-Aug.) May 1970-Mar. 1975|||Quarterly summer 1956-fall 1966|||Bimonthly Jan.-Feb. 1967--Mar.-Apr. 1970|||Monthly,English,text,print,20 v. ill. 22-28 cm.,periodical,,,,,,"Fourth International (New York, N.Y.) (OCoLC)7196004|||Young Socialist (OCoLC)5463533",Militant (OCoLC)2264193,0020-8744,sc 78000044,,
544608,I.S: independent socialist,,Independent socialist,,,"Berkeley, Ca",Independent Socialist Clubs of America,1969-1969,1969,1969,,serial,Ten no. a year|||Monthly,English,text,print,5 no. : ill. ; 44 cm.,periodical,,Socialism|||Periodicals,,,,Independent socialist (OCLC) 2262203,"I.S., international socialist (OCLC) 1752454",,,,
544607,"I. S., independent socialist",,Independent socialist,,,"Berkeley, Calif",Independent Socialist Clubs of America.,,1969,1969,,serial,Unknown,English,text,microfilm,5 no. ill. 44 cm.,newspaper,,Socialism|||Periodicals,,,,Independent socialist,"I. S., international socialist",,,,
525475,I.S: international socialist,,International socialist,,,"Berkeley, Calif",International Socialist Publishing Co.,1969-1970,1969,1970,,serial,Ten no. a year|||Monthly,English,text,print,8 no. : ill. ; 44 cm.,newspaper,,Socialism|||Periodicals,,,,"I.S., independent socialist (OCoLC)4799318",Worker's power 0019-0535 (OCoLC)1770108,,,,
548352,"I.S., International socialist",,International socialist,,,"Berkeley, Calif",International Socialist Pub. Co.,1969-1970,1969,1970,,serial,Unknown,English,text,microfilm,8 no. : ill. ; 44 cm.,newspaper,,Socialism|||Periodicals,,,,"I.S., Independent socialist (OCoLC)7219396",Worker's power 0019-0535 (OCoLC)7219463,,,,
525980,Labor action,,,,,New York,"Labor Action Pub. Co., etc.]",1940-58,1940,1958,,serial,"Biweekly, July 29, 1957-Sept. 22, 1958|||Weekly, May 20, 1940-|||Biweekly",English,text,print,19 v. ill. 55 cm.,periodical,,Socialism|||Periodicals,,United States,,Young Socialist challenge,,0094-6850,44035230,,
522328,Leviathan,,,,,New York,"V. R.-Leviathan Publications, Inc.",,1969,1970,,serial,Nine times yearly,English,text,print,,periodical,,,,,,Viet-report|||May,,0024-1563,,,
8828596,Leviathan,"Leviathan (New York, N.Y.)",,,,"New York, New York :|||San Francisco, Calif. :","V.R.--Leviathan Publications, Inc.,|||[V.R.-Leviathan Publications, Inc.]",1969-,1969,1970,,serial,Nine times yearly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||periodical|||text,,Underground press publications|||Radicalism|||Political activists|||Socialism|||Civil rights|||Women's rights|||Politics and government,1969-1974,San Francisco|||California|||United States,,"Viet-report (OCoLC)1641656|||May|||Paper tiger (Boston, Mass.)",,2469-7966|||0024-1563,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFIHAAB
550015,Leviathan,"Leviathan (New York, N.Y.)",,,,"New York, N.Y","V. R.-Leviathan Publications, Inc.",1969-1970,1969,1970,,serial,Unknown,English,text,microfilm|||microform,2 v. : ill.,periodical,,Socialism|||Periodicals,,,,Viet report (OCoLC)3560925|||May|||Paper tiger,,,,,
535801,"Militant, The",International Socialist review|||World outlook,,,,New York,[Militant],,1941,9999,,serial,"Weekly (except 2 weeks in Aug., last week of Dec., and 1st week of Jan.) <Oct. 9, 1981>-|||Weekly",English,text,print,v. : ill. ; 44-58 cm.,newspaper,,Socialism|||Periodicals,,"United States, New York, New York, New York|||United States",,"Socialist appeal|||Intercontinental press (New York, N.Y. : 1985) (OCoLC)13048403",,0026-3885,sn 78001604,,
4836663,"militant, The","Militant (New York, N.Y. : 1941)|||International Socialist review|||World outlook|||Perspectiva mundial",Militante,,,"New York, N.Y",Militant Pub. Co.,1941-,1941,9999,,serial,"Weekly (except 1 week in Dec., and biweekly mid June-mid Aug.), Nov. 22, 1993-|||Weekly, Feb. 1, 1941-July 4, 1960|||Weekly (except biweekly July-Aug.), July 11/18, 1960-May 24, 1968|||Weekly, May 31, 1968-Jan. 23, 1981|||Frequency varies, 1981-Nov. 15, 1993|||Weekly",Spanish|||English,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Newspapers|||newspaper|||text,,Socialism|||Working class|||Política,,"New York (State)|||New York (N.Y.)|||New York|||United States, New York, New York, New York",,"Socialist appeal (New York, N.Y.) (DLC)sn 99060945 (OCoLC)19019580|||Intercontinental press (New York, N.Y. : 1985) (OCoLC)13048403|||Perspectiva mundial (DLC) 77646908 (OCoLC)3143037",,0026-3885,,,http://www.themilitant.com/
544522,Moving on,,,,,Chicago,"New American Movement,]",1977-1982,1977,1982,,serial,"Bimonthly <, Apr./May 1980->|||Monthly (except Jan. and Aug.) <Mar. 1979->|||Bimonthly",English,text,print,v. : ill. ; 28 cm.,periodical,,,,,,New American movement 0730-5656 (OCoLC)7655227 (DLC)sc 81003032,,0164-4874,sc 81005027|||sn 79000189,,
9264225,Moving on,"Moving on (Chicago, Ill.)",,,New American Movement (Organization) (issuing body)|||New American Research Institute (issuing body),"Chicago, IL :","New American Movement,",1977-1982.,1977,1982,,serial,"Bimonthly, Aug./Sept. 1979-|||Monthly (except Aug. and Jan.), 1977-July 1979|||Bimonthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (5 volumes) : illustrations.,Periodicals|||periodical|||text,,Socialism|||Democracy|||Politics and government|||Social conditions,1977-1981|||1960-1980,United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9FZQ/AHSI?sid=gale_marc&u=upitt_main
1200674,Moving on,"Moving on (Minneapolis, Minn.)",,,,"Minneapolis, Minn",The Movement,,197u,197u,,serial,"3 no. a year, <1975->|||Monthly, <1974->|||Three times a year",English,text,print,v. : ill. ; 28 cm.,periodical,,Periodicals|||Socialism|||Socialists|||New American Movement (Organization),,United States,,,,,sn 92037620,,
1200843,New American movement,,,,,San Francisco,New American Movement Newspaper],1971-1976,1971,1976,,serial,Monthly,English,text,print,v. : ill. ; 44 cm.,periodical,,,,,,,Moving on 0164-4874 (DLC)sc 81005027 (OCoLC)4755506,0730-5656,sc 81003032,,
1200677,New American movement,,Pittsburgh Chapter newsletter,,,"Pittsburgh, Pa",The Chapter,-1982,19uu,1982,,serial,"Bimonthly, May-June 1979-May-June 1982|||Monthly, Jan. 1973-<Mar. 1974>|||Bimonthly, <May-June 1974>-Sept.-Oct. 1975|||Monthly, <Dec. 1975>-Apr. 1979|||Bimonthly",English,text,print,v. : ill. ; 28 cm.,periodical,,Periodicals|||Socialism|||Socialists|||New American Movement (Organization). Pittsburgh Chapter,,Pennsylvania|||Pittsburgh,,,Democratic Socialists of America. Pittsburgh Local newsletter (OCoLC)26835416 (DLC)sn 92037613,,sn 92037612,,
524059,"new leader, The","New leader (New York, N.Y. : 1935)",NL <Mar./Apr. 2000- >,,,"New York, N.Y",New Leader Pub. Association,1935-c2006,1935,2006,,serial,"Bimonthy (except Jan./Feb.), 2000-2006|||Frequency varies, 1935-1999|||Bimonthly",English,text,print,v. : ill. ; 41-57 cm.,Periodicals|||periodical,,Socialism,,,,New leader with which is combined the American appeal (DLC)sn 86077201 (OCoLC)8575605|||Russian affairs (OCoLC)1715802,"New leader (New York, N.Y. : 1935 : Online) 1937-2205 (DLC) 2007247597 (OCoLC)86075989",0028-6044,sn 78001721,,http://pitt.idm.oclc.org/login?url=http://www.thenewleader.com/
4184570,"new leader, The","New leader (New York, N.Y. : 1935 : Online)",NL,,,"New York, N.Y",American Labor Conference on International Affairs,,1935,2010,,serial,Bimonthly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Socialism,,,,"New leader (New York, N.Y. : 1935) 0028-6044 (DLC)sn 78001721 (OCoLC)1643783",,1937-2205|||0028-6044,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/1376/AONE?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/1376/BIG?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=aph&jid=NLL&scope=site|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=bth&jid=NLL&scope=site
524563,Weekly people,,,,,"Palo Alto, Calif. [etc.]",Socialist Labor Party.,,1900,1979,,serial,Weekly (except last Sat. in July and first Sat. in Aug.) 1979-|||Weekly (except second and third Saturdays in June) 19 -79|||Weekly,English,text,print,v. ill.,newspaper,,Socialism|||Periodicals,,,,,People 0199-350X,0043-1885,sn 78000229,,
4767639,"people, The",People (Palo Alto : 1979 : Online),,,,"Palo Alto, CA",Socialist Labor Party,1979-,1979,9999,,serial,Bimonthly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Newspapers|||Periodicals|||newspaper|||text,,Socialism|||Labor movement,,"California|||Santa Clara County|||United States|||United States, California, Santa Clara, San Jose|||United States, California, Santa Clara, Palo Alto|||San Jose|||San Jose (Calif.)|||Santa Clara County (Calif.)",,Weekly people 0043-1885 (OCoLC)1695617,,1938-3495|||0199-350X,,,http://www.slp.org/tp.htm#anchor185654
524563,Weekly people,,,,,"Palo Alto, Calif. [etc.]",Socialist Labor Party.,,1900,1979,,serial,Weekly (except last Sat. in July and first Sat. in Aug.) 1979-|||Weekly (except second and third Saturdays in June) 19 -79|||Weekly,English,text,print,v. ill.,newspaper,,Socialism|||Periodicals,,,,,People 0199-350X,0043-1885,sn 78000229,,
430423,"Workers' advocate: voice of the Marxist-Leninist Party of the USA, The",,,,,"Chicago, IL",Marxist-Leninist Publications,,19uu,9999,,serial,Unknown,English,text,print,,periodical,,,,,,,,0276-363X,sn 81004250,,
528051,Workers' power,,,,,"Highland Park, Mich",International Socialist Pub. Co.,c1970-c1978,1970,1978,,serial,"Weekly, except the first two weeks in July and the last two weeks in Dec.|||Bi-weekly, except semi-monthly in Dec. and monthly in July and Aug.|||Weekly",English,text,print,246 no. ill. 44 cm.,periodical,,Socialism|||Periodicals|||Labor movement,,,,I.S (OCoLC)1752454,Changes socialist monthly 0194-8350 (DLC) 83640167 (OCoLC)4814085,0019-0535,sn 86016176,,
548354,Workers' power,,,,,"Highland Park, Mich",International Socialist Publishing Co.,1970-1978,1970,1978,,serial,"Weekly, except the first two weeks in July and the last two weeks in December|||Bi-weekly, except semi-monthly in December and monthly in July and August|||Unknown",English,text,microfilm,246 no. : ill. ; 44 cm.,newspaper,,Socialism|||Periodicals,,,,"I.S., International socialist (OCoLC)7219417",Socialist monthly changes,0019-0535,,,
430422,Workers viewpoint,"Workers viewpoint (New York, N.Y. : 1980)",,,,"New York, N.Y",Workers Viewpoint,-1984,19uu,1984,,serial,Weekly,English,text,print,v. : ill. ; 28 cm.,periodical,,Communism|||Periodicals|||Politics and government,1945-|||1945-1989,United States,,,,,,,
532255,Caw,,,,,New York,Students for a Democratic Society.,,1968,1969,,serial,Bimonthly,English,text,print,1 v. ill. 26-41 cm.,periodical,,,,,,,,0576-9698,,,
6570774,Caw!: magazine of Students for a Democratic Society,,,,,"New York, N.Y",Students for a Democratic Society,1968 -1969,1968,1969,,serial,Frequency varies,English,text,electronic|||electronic resource|||remote,1 online resource (4 v.) : ill. ; (26-41 cm.),Periodicals|||periodical,,Student movements,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371417
3979020,Free you,"Free you (Menlo Park, Calif.)|||Human Institute newsletter",,,,"Menlo Park, CA",Midpeninsula Free University,,196u,1971,,serial,Frequency varies|||Weekly,English,text,print,v. : ill. ; 28 cm.,periodical,,,,,,,,0016-0490,,,
548749,Free you,,,,,Minneapolis,Minnesota Free University,196-,196u,9999,,serial,Unknown,English,text,microfilm,v. : ill.,newspaper,,Underground newspapers,,Minneapolis|||Minnesota,,,,,,,
534719,Henderson Station,,,,,"State College, Pa",State College Free Press.,,1971,9999,,serial,Unknown,English,text,print,,periodical,,,,,,,,,,,
549166,NUC newsletter,,,,,Chicago,The Conference.,,1968,9999,,serial,Monthly,English,text,print,v. ill. 28 cm.,periodical,,Students|||Political activity|||Periodicals|||Student movements,,,,,,,,,
551747,"Radical teacher, The","Radical teacher (Chicago, Ill.)",,,,"Chicago, Ill.]",New University Conference,,196u,9999,,serial,Completely irregular,English,text,print,v. : ill. ; 28 cm.,periodical,,Teaching|||Periodicals|||Radicalism,,United States,,,,,,,
528477,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969- 1969",1969,1969,,serial,Biweekly,English,text,print,v. : ill. ; 45 cm.,periodical,,,,,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),0532-9299,,,
8825616,(SDS) Fire,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0532-9299,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHHFFGE
549744,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969-",1969,1969,,serial,Biweekly|||Unknown,English,text,microfilm|||microform,v. : ill. ; 45 cm.,periodical,,Underground newspapers,,Illinois|||Chicago,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),,,,
549745,New left notes,New left notes (Students for a Democratic Society : 1970),SDS new left notes,,,"Boston, Mass",Students for a Democratic Society,1970-,1970,9999,,serial,Biweekly,English,text,print,v. : ill. ; 45 cm.,periodical,,Underground press publications,,Illinois|||Chicago,,"Fire (Chicago, Ill.) (OCoLC)1775564",,,,,
549120,New left notes,New left notes (Students for a Democratic Society : 1966),SDS new left notes,,,"Chicago, Illinois",Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly|||Unknown,English,text,microfilm|||microform,: ill. ; 43 cm.,newspaper,,Underground newspapers,,Illinois|||Chicago,,,"Fire(Chicago,Ill.) (OCoLC)8089379",0548-5908,,,
6570893,SDS new left notes,,New left notes|||S.D.S. new left notes,,,Chicago,Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly,English,text,electronic|||electronic resource|||remote,1 online resource ([4] p. : ill. ; 43 cm.),periodical,,,,United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371448
526488,SDS new left notes,,New left notes,,,"Chicago, Illinois",Students for a Democratic Society.,,1966,19uu,,serial,Weekly,English,text,print,v. ill. 43 cm.,newspaper,,,,,,,Fire (OCoLC)1775564,0548-5908,77009820,,
8825618,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0548-5908,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHFJIIB
8825617,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=IAIJEAC
537667,SNCC newsletter,,Newsletter,,,"Atlanta, Ga",Student Nonviolent Coordinating Committee.,,1967,9999,,serial,Unknown,English,text,print,,,,,,,,,,,,,
9147738,"Water Tunnel, Vol. 1 no. 1, March 10, 1969",,,,,S.l.],State College Free Press,1969,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702251
9147739,"Water Tunnel, Vol. 4 no. 3, October 26, 1970",,,,,S.l.],State College Free Press,1970,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702252
